# Dimensions del problema

param n := 7;	# Nodes
param m := 15;	# Arcs

# Capacitats de les arestes

param capacity :=
1  3
2  5
3  2
4  1
5  2
6  2
7  4
8  3
9  2
10 4
11 1
12 1
13 2
14 3
15 Infinity;


# Matriu incidències nodes-arcs

param A[*,*]
:  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15:=
1  1  1  1  1  0  0  0  0  0  0  0  0  0  0 -1
2 -1  0  0  0  1  1  1  0  0  0  0  0  0  0  0
3  0  0  0  0  0 -1  0  1  1  1  0  0  0  0  0
4  0  0  0 -1  0  0  0  0  0 -1  1  0  0  0  0
5  0 -1  0  0  0  0  0  0 -1  0 -1  1  1  0  0
6  0  0 -1  0 -1  0  0  0  0  0  0 -1  0  1  0
7  0  0  0  0  0  0 -1 -1  0  0  0  0 -1 -1  1;
