param n := 7;	# Nodes
param m := 14;	# Arcs

# Capacitats de les arestes
param capacity :=
1  3
2  5
3  2
4  1
5  2
6  2
7  4
8  3
9  2
10 4
11 1
12 1
13 2
14 3;

# Cost per unitat de flux a les arestes
param cost :=
1  2
2  5
3  5
4  4
5  1
6  1
7  2
8  1
9  2
10 2
11 5
12 4
13 1
14 3;

# Flux imposat al circuit
param dif :=
1  1
2  0
3  0
4  0
5  0
6  0
7 -1;

# Matriu incidències nodes-arcs
param A[*,*]
:  1  2  3  4  5  6  7  8  9 10 11 12 13 14:=
1  1  1  1  1  0  0  0  0  0  0  0  0  0  0
2 -1  0  0  0  1  1  1  0  0  0  0  0  0  0
3  0  0  0  0  0 -1  0  1  1  1  0  0  0  0
4  0  0  0 -1  0  0  0  0  0 -1  1  0  0  0
5  0 -1  0  0  0  0  0  0 -1  0 -1  1  1  0
6  0  0 -1  0 -1  0  0  0  0  0  0 -1  0  1
7  0  0  0  0  0  0 -1 -1  0  0  0  0 -1 -1;
